"-", "Mon Apr 06 22:22:32 PDT 2009", "CiaraRenee", "I need a hug "
"-", "Mon Apr 06 22:30:55 PDT 2009", "erks", "is alone downstairs...working "
"-", "Mon Apr 06 22:32:35 PDT 2009", "Karmatical", "@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
"-", "Mon Apr 06 22:35:43 PDT 2009", "sarahdesjardins", "SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED "
"-", "Mon Apr 06 22:37:04 PDT 2009", "latoyanlegania", "Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick "
"-", "Mon Apr 06 22:41:07 PDT 2009", "elamparuthi", "amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad."
"-", "Mon Apr 06 23:22:46 PDT 2009", "ChelsiMarie", "@mykele sayyyy whaaaa? I wasn't invited... "
"-", "Mon Apr 06 23:27:22 PDT 2009", "RavenSu", "rt @KimKardashian Khloe just got fired from the Apprentice "
"-", "Mon Apr 06 23:29:00 PDT 2009", "francheza", "definitely no vacation for me...   http://plurk.com/p/mzygb"
"-", "Mon Apr 06 23:32:39 PDT 2009", "Daryen", "Meat Week Day 3: Tummy hurts every night "
"-", "Mon Apr 06 23:50:21 PDT 2009", "sylvestor", "@dra6on now I am sad cos u r sad "
"-", "Mon Apr 06 23:51:48 PDT 2009", "Stephfy", "I miss my friends from elementary and middle school "
"-", "Mon Apr 06 23:52:16 PDT 2009", "nataliebaladi", "needs to study for quant and do legal process assessment for 2moro "
"-", "Mon Apr 06 23:53:07 PDT 2009", "bookshopgirl212", "woke up at 6am  far too early...more coffee then"
"-", "Mon Apr 06 23:53:40 PDT 2009", "emilio_delgado", "@PaulTeeter we passed by the border "
"-", "Tue Apr 07 00:05:01 PDT 2009", "intoxxication", "@ylizabeth because you died, and i never see you. "
"-", "Tue Apr 07 00:10:51 PDT 2009", "micahmarquis", "A few catering gigs, very cool, getting ready for the normal week.  Working on Easter.  "
"-", "Tue Apr 07 00:12:53 PDT 2009", "grahampost", "all these crazy pollen trees in Washington state are making my sinuses go crazy "
"-", "Tue Apr 07 00:15:16 PDT 2009", "lauraamalone", "at wye river.. It's really cold! This internet is really expensive "
"-", "Tue Apr 07 00:24:18 PDT 2009", "keefster", "Caught myself looking up the iphone. Promised I wouldn't torcher myself as I still have 6 months left on my current contract "
"-", "Tue Apr 07 00:41:59 PDT 2009", "rarrkun", "@cherrytreerec I can't see anything  Stupid YouTube and their location restrictions. Who's in the Speedo?"
"-", "Tue Apr 07 00:42:18 PDT 2009", "happymikipower", "@CelesteChong oh but mine is ceramic so its more ex  abit less visible. inside ones are very ex! double the price n double the duration"
"-", "Tue Apr 07 00:43:29 PDT 2009", "terrajen", "Sorry, SF. Rescheduling my SF trip for this coming weekend to mid May. Bad circumstances "
"-", "Tue Apr 07 00:55:05 PDT 2009", "mattsantucci", "@XombieXS Of course. What aren't they remaking?    At least with Haley, I have a bit of hope."
"-", "Tue Apr 07 01:05:28 PDT 2009", "howlingmadhowie", "mm, twitter appears to have eaten some of my posts. naughty twitter "
"-", "Tue Apr 07 01:05:34 PDT 2009", "Warlach", "To the people who called out to me on the red carpet, I was blinded by the lights! "
"-", "Tue Apr 07 01:06:20 PDT 2009", "QQIANN", "is feeling terribly sick right now! "
"-", "Tue Apr 07 01:08:46 PDT 2009", "lisacherie", "is probably sick. FFS. "
"-", "Tue Apr 07 01:16:39 PDT 2009", "GinaQ59", "Wanted to tweet that I was in Victoria! But silly Canadian service wouldn't work. Home now and sad vacation is over. "
"-", "Tue Apr 07 01:17:52 PDT 2009", "HBehrens", "will have a meeting in an hour to explain &quot;which version of oAW we use&quot;. What to say? None? atm, it's just a heap of unbundled EMF tools "
"-", "Tue Apr 07 01:25:06 PDT 2009", "elfinamsterdam", "@nmcgivney yeah ploughed around there last night.. .but nothing happening "
"-", "Tue Apr 07 01:31:04 PDT 2009", "TheRiver", "@maxbarners  I hope it all goes well."
"-", "Tue Apr 07 01:33:31 PDT 2009", "beachbunny_9", "Ok here's the deal i live in a small town i've never seen anythin famous n anyway so i thought i might luck up on something "
"-", "Tue Apr 07 01:49:35 PDT 2009", "DJRENEG", "Thats messed up "
"-", "Tue Apr 07 01:57:14 PDT 2009", "Brooksmeister", "In the garage getting an estimate for the wheel damage on my car from Sunday's  little mishap - not looking good! "
"-", "Tue Apr 07 02:01:47 PDT 2009", "BelleBot", "What happened to last night's twits? They've gone and run away! "
"-", "Tue Apr 07 02:07:47 PDT 2009", "fmfootwear", "tomorrow is another day....damn tomorrow is already today "
"-", "Tue Apr 07 02:26:47 PDT 2009", "IcarusWingz", "Aw - Snapcase arent getting back together... I must have dreamt it    "
"-", "Tue Apr 07 02:29:11 PDT 2009", "newtriks", "Yeh totally dig FireBug but enuff is enuff, gonna start using Safari4/Charles + ditch FF and see how debugging goes, too many FF crashes "
"-", "Tue Apr 07 02:32:14 PDT 2009", "Tittch", "I am a work martyr. Give me chocolate, coffee and sympathy. And now my cat's decided she's dying "
"-", "Tue Apr 07 02:34:54 PDT 2009", "laceylingerie", "I have to go to the library and get some books on the bloody was  I really can't be bothered with these A levels anymore"
"-", "Tue Apr 07 02:41:49 PDT 2009", "jwilger", "OK, I think I'm finally done with work for the (yester)day. Now for a beer and some TV before hitting the sack. Back at it around 9am. "
"-", "Tue Apr 07 02:43:31 PDT 2009", "KneeHighBootFan", "Khb count low today despite the changing weather. "
"-", "Tue Apr 07 02:49:53 PDT 2009", "yowiepower", "Working at uni.. Red Bull and a packet of sultanas for dinner "
"-", "Tue Apr 07 02:50:14 PDT 2009", "kapsarovb", "Can't tweet working over the head "
"-", "Tue Apr 07 02:52:30 PDT 2009", "GeraldFoord", "@CaptainSeeBass @SparkyMA girlfriend troubles. Got some serious thinking to do "
"-", "Tue Apr 07 02:57:31 PDT 2009", "gavlp", "@loris_sl I see they are still having aftershocks over there. I'm following @EQwatch which tells me there's just been another 4.8 quake "
"-", "Tue Apr 07 02:57:55 PDT 2009", "BertaWooster", "@Kal_Penn I just watched House and got really sad    I liked Kutner."
"-", "Tue Apr 07 03:01:49 PDT 2009", "jeremy_ellis", "@nickynocky Yeah its rubbish, think my bill just gone up as well, and you have to filter the crap water "
"-", "Tue Apr 07 03:11:44 PDT 2009", "mo3ath", "at degool cafe waiting the clock to be 2pm "
"-", "Tue Apr 07 03:26:47 PDT 2009", "Fifi1976", "Think i need some chocolate or cake or something to try and get me out of this foul mood "
"-", "Tue Apr 07 03:45:22 PDT 2009", "NicoleBlake22", "have got a slight hangover "
"-", "Tue Apr 07 03:48:14 PDT 2009", "Mistic_Morgue", "@angeluserro lol yeah i will be ok. I think my dog just scratched my eye. Like my actual eye ball. Everything is blurry in my right eye "
"-", "Tue Apr 07 03:52:58 PDT 2009", "julescookies", "after the 1000. time watching...still don't really like the 5th Harry Potter movie  sad actually, i love the book though"
"-", "Tue Apr 07 03:54:10 PDT 2009", "claire_michelle", "*sigh* another day, another pile of exciting research to trawl through... More of this tomorrow too "
"-", "Tue Apr 07 04:26:21 PDT 2009", "Carrot64", "I dunno what to do "
"-", "Tue Apr 07 04:26:48 PDT 2009", "bobbo0521", "@davidlink awesome to see you'll be speaking at WordCampNOLA. Wish I lived closer "
"-", "Tue Apr 07 04:38:47 PDT 2009", "missyera", "@rxrrazorblade Poor you.  I just finished work. You'll get through the day."
"-", "Tue Apr 07 04:42:31 PDT 2009", "ChristinaNikole", "Is absolutely sick of riding the bus, sick of school and sick of living so far from the church. what an attitude!!! "
"-", "Tue Apr 07 04:44:38 PDT 2009", "glammakid", "Having some lunch &amp; watching The Women with mother... throat hurts sooo bad! "
"-", "Tue Apr 07 04:44:46 PDT 2009", "px", "Just got Delicious Library license key, scanning everything with #barcodes. Burt's Bees Beeswax lipbalm fail. "
"-", "Tue Apr 07 04:54:22 PDT 2009", "tsuiwei", "What the.... Didn't have time to tweet since more than 24hours ago!!! "
"-", "Tue Apr 07 04:54:38 PDT 2009", "lovingindie", "This world sucks "
"-", "Tue Apr 07 05:01:23 PDT 2009", "JeepNaked", "gotta get dressed amd go into work today  ..but do model nude every Tues/Thurs nite until May 7th in Union at the CC"
"-", "Tue Apr 07 05:18:07 PDT 2009", "designer43", "NOT NAKED   Snow flurries in Ga. on 4/7 for chrissake!"
"-", "Tue Apr 07 05:53:27 PDT 2009", "Chelvis09", "awwww mann i need followers im a loser "
"-", "Tue Apr 07 06:18:16 PDT 2009", "SuperUber7", "@trishofthetrade drunk tweeting?  hahaha I am sick and drinking was out of the question last night "
"-", "Tue Apr 07 06:18:49 PDT 2009", "EtchedHeadplate", "@noxhanti Almost, but not quite. Uncanniness and rampant Luddism might put paid to Replicants before they're even built "
"-", "Tue Apr 07 06:23:55 PDT 2009", "PoloFreshLoSo", "In math klass bored as hell!  urghhhhh i hate math!"
"-", "Tue Apr 07 06:24:18 PDT 2009", "justjules25", "is really ill "
"-", "Tue Apr 07 06:33:31 PDT 2009", "skilly16", "@AMelhuish Hello there, Well right now, i am hanging after a night in Gford   How you doing?? x"
"-", "Tue Apr 07 06:37:56 PDT 2009", "pyr8hd", "... Hard drive - unrecoverable crash; now shopping for another. "
"-", "Tue Apr 07 06:42:48 PDT 2009", "Annierace", "me too tom .. i love it...lol sorry that clare saw no chicks "
"-", "Tue Apr 07 06:43:57 PDT 2009", "Faye_yasmin_90", "feels sick and has to go to work "
"-", "Tue Apr 07 06:58:36 PDT 2009", "xxcudaxx", "I hope your happy with your love life because it just makes me cry "
"-", "Tue Apr 07 06:59:27 PDT 2009", "djskive", "@explosionofnick im soo bored "
"-", "Tue Apr 07 07:13:24 PDT 2009", "jamiesmart", "oh god. so sick of editing. not even halfway through "
"-", "Tue Apr 07 07:13:27 PDT 2009", "smatbrat", "MORNING WORLD. OPENING DAY!!!!!!!!!!!!!!! RAIN IN TEH FORCAST "
"-", "Tue Apr 07 07:19:48 PDT 2009", "nan_fischer", "@rdavidian I love piano! My mom played, and it's my favorite music. I'd take it up again, but my fingers are too arthritic. "
"-", "Tue Apr 07 07:24:47 PDT 2009", "TracerBullet", "@leewaters I can't have a dog in my apartment, can't really afford to move (or want to), and my lifestyle isn't conducive to having one. "
"-", "Tue Apr 07 07:28:25 PDT 2009", "_leontien", "@vaidah uh no, I have my own dishes to do "
"-", "Tue Apr 07 07:28:34 PDT 2009", "sarahtaps", "feeling under the weather and wishing I were in bed with the dogs "
"-", "Tue Apr 07 07:39:33 PDT 2009", "sfrancisk", "More torture from that weather, uhg. I wish there was a cure for Migraines. Have little hope of growing out of it since mom suffers too "
"-", "Tue Apr 07 07:43:22 PDT 2009", "LukesMummy", "Got a bit of a hot and poorlyish boy on my hands atm. Poor baby "
"-", "Tue Apr 07 07:44:47 PDT 2009", "KalanajLoREAL", "is cold at work again today...I gotta remember to pack my SNUGGIE in my car "
"-", "Tue Apr 07 07:50:07 PDT 2009", "mgddth", "Mmm...English is difficult "
"-", "Tue Apr 07 07:55:40 PDT 2009", "clarae71", "@leealison allergies suck!!  I have been having to take zyrtec for the last wk now..   "
"-", "Tue Apr 07 07:58:56 PDT 2009", "SamRinny", "Im cooooold "
"-", "Tue Apr 07 08:14:36 PDT 2009", "unsa48", "is in desperate need of followers! "
"-", "Tue Apr 07 08:20:12 PDT 2009", "crmunar", "Leaving for school. Fuck so much to do today... "
"-", "Tue Apr 07 08:24:20 PDT 2009", "Jane_Craddock", "Nobody is twittering "
"-", "Tue Apr 07 08:45:20 PDT 2009", "ayufan11", "I want to quit my life  ~Michisan"
"-", "Fri Apr 17 21:10:21 PDT 2009", "rebekaahh", "ahh doing homework :@ school holidays nearly over "
"-", "Fri Apr 17 21:11:45 PDT 2009", "TheDEXpress", "@leezadlf: Ay, talaga? How has she been? I miss her... "
"-", "Fri Apr 17 21:15:11 PDT 2009", "yung2k", "@KayKay89 i guess everyone went out 2nite "
"-", "Fri Apr 17 21:16:33 PDT 2009", "Bigdonkey1", "@Wolfie1800 nobody is posting. ironically the second i hit send somebody posted "
"-", "Fri Apr 17 21:21:12 PDT 2009", "BW101", "@fallenstar_ Tough times indeed  I'm still debating, but I think I'm pretty much decided... but I've still got a year and a half to decide"
"-", "Fri Apr 17 21:21:15 PDT 2009", "alexxisis", "@PostGay I'd suggest that The Cure - Friday I mean, Tug.  Sorry "
"-", "Fri Apr 17 21:25:35 PDT 2009", "nad2000", "@tm_lv gacias... you opened my eyes... Well, I found.. I have &quot;Intel GMA 950&quot;. It has probl. w/ Ubunte. 8 was OK, 9 doesn't have drivers "
"-", "Fri Apr 17 21:31:01 PDT 2009", "courtproduction", "@drmynoralvarez omg, i am soo sorry to hear that! "
"-", "Fri Apr 17 21:31:20 PDT 2009", "BirstinKirstin", "Im doing stupid English homework "
"-", "Fri Apr 17 21:34:53 PDT 2009", "stopsmokingtip", "@davidcgarcia throat to 'just stop' "
"-", "Fri Apr 17 21:40:56 PDT 2009", "drewthomsen", "i love say yes to the dress. since age 10 i wanted to be a bridal consultant. then i realized i had to go to college and get a real job "
"-", "Fri Apr 17 21:42:10 PDT 2009", "rudyrudolph", "ipod is 100% completely dead... been charging for 15 minutes and it still says the battery is too low "
"-", "Fri Apr 17 21:56:12 PDT 2009", "aliceokoye", "I am in a cul de sac "
"-", "Fri Apr 17 22:00:18 PDT 2009", "tokarrai", "Pondering food, pondering updating my Zune, pondering being an uncle to a pair of nephews 2300 miles away.  I has a sad. "
"-", "Fri Apr 17 22:15:16 PDT 2009", "Lchadscott", "@KathiePritchett damn baby, you always sleeping on me "
"-", "Fri Apr 17 22:16:02 PDT 2009", "teejay0109", "@ChubbyGayMan what message "
"-", "Sat Apr 18 06:59:31 PDT 2009", "murrayfortescue", "@GourmetBen bh doesn't have it "
"-", "Sat Apr 18 07:11:15 PDT 2009", "makeupaddictali", "missing phily like mad i hate when hes on 24hr duty "
"-", "Sat Apr 18 07:15:28 PDT 2009", "TiffanyPR", "Not able to check my DM's this morning via my mobile device.  @skydiver mentioned he sent me a DM &amp; I missed it. I apologized. #PRSANY"
"-", "Sat Apr 18 07:19:39 PDT 2009", "riotradio", "halftime break. the match has been.. depressing. wtf, FCB? and what's worse is that Leverkusen is losing "
"-", "Sat Apr 18 07:20:16 PDT 2009", "britta1988", "@Rekidk  Sometimes it's better out than in. I feel for ya."
"-", "Sat Apr 18 07:21:01 PDT 2009", "Psythor", "@AIannucci I was going to go and see your film, but then Michael Portillo said they he didn't like it, so now I'm not. Sorry Armando "
"-", "Sat Apr 18 07:29:59 PDT 2009", "ann_donnelly", "@itvhellskitchen Is that preview for UK visitors only?  There are ROI Hell's Kitchen fans too "
"-", "Sat Apr 18 07:30:48 PDT 2009", "sunflower802088", "observing ducks for my stupid paper.  but other than that today will be a good day!"
"-", "Sat Apr 18 07:35:24 PDT 2009", "gatrL", "GOOD MORNING!! had a {{ GREAT }} time last night!... have NO plans "
"-", "Sat Apr 18 07:39:36 PDT 2009", "courtneylynne09", "is extremely disappointed she won't be able to go to Dez's tonight. I guess she's not meant to get out of the damn house. "
"-", "Sat Apr 18 07:40:53 PDT 2009", "Haarlz", "OWWW I JUST KNEEED MYSELF IN THE BOOB  - CRYS"
"-", "Sat Apr 18 07:44:21 PDT 2009", "Jspazzin", "Takin a nap. If u have my number don't hit me until LATER!!! I'm sleeeeeepy with a serious headache "
"-", "Sat Apr 18 07:51:08 PDT 2009", "vickie_allport", "@ohjennifer i told you your cars broke!! actually i probably jinxed it, im terrible at doing that, sorry barlow  whats happened now? xxx"
"-", "Sat Apr 18 07:54:42 PDT 2009", "iluvjoejonas16", "OMJ the Jonas Brothers still are NOT comming to Australia  I&quot;m like thir biggest fan EVA lol and i still luv Joe the Sexiest  guy eva lol"
